"","tweet","asal_tweet","emosi_kakErsya","emosi_kakFarah","emosi_andi"
"174","Masih ngeri covid nya nunggu smpe ada vaksin aja deh huhu","Earth","takut","takut","takut"
"175","Dari sini kami bersama sama untuk membangun solidaritas menghadapi Covid 19 ini katanya","Malang, Jawa Timur","takut","takut","takut"
"176","PNS di Banyuwangi Terus Gotong royong Salurkan Bantuan Sosial Covid 19 KAMIProvokatorSaatPandemi","Malang, Jawa Timur","gembira","gembira","gembira"
"177","Pemerintah terus menggulirkan berbagai stimulus untuk menangani imbas pandemi covid 19 di berbagai sektor","Malang, Jawa Timur","gembira","takut","terkejut"
"178","da Huhuhu soale di kelurahan ku rodo rawan akeh sing covid malah ono sing meninggal positif akhir e d mbas no handscoon","Malang","marah","marah","takut"
"179","Dia mengaku sebelumnya dalam dua kali tes rapid dirinya dinyatakan non reaktif Covid 19","Malang, Jawa Timur","terkejut","takut","terkejut"
"180","55 Anggota DPRD Kabupaten Bogor Jalani Tes Swab Covid 19 kentalmanisbukansusu","Malang, Jawa Timur","terkejut","takut","terkejut"
"181","Realitane km ga covid seh medeni","Malang, Jawa Timur","terkejut","terkejut",""
"182","coba kita lihat seberapa melonjaknya kurva covid di malang hmm ndang ngaleh tekan kene ah ayahab ilakes","Malang, Jawa Timur","terkejut","terkejut",""
"183","Apa cuma gw yg salfok ama wakil walkot solo yg kena covid gegara si itu v","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"184","Maaf kmrn malam konvoi dan ngumpul di stadion bgm mau bebas covid yah","Malang","marah","marah","marah"
"185","Semoga covid juga memaklumi ya mas jd ga sampe ada yg positif setelah berkumpul","Kota Malang, Jawa Timur","sedih","takut","marah"
"186","Bayangin pas pandemi covid datang dan gadget di Indonesia masih di era Evercross","Malang, Jawa Timur","sedih","sedih","sedih"
"187","bismillah 18 pen pisan pisan menang giveaway pas corona bokek ngeneiki selamat jugaa nder dah lolos semangat truss","Malang","gembira","gembira","gembira"
"188","Kenapa harus bawa2 wudhu segala kok gak sekalian bilang kalau bakar dupa bs matiin virus corona","Malang City","marah","marah","marah"
"189","Hahaha males panas sek banyak corona disana","malang","takut","takut","takut"
"190","Ada atau tidak ada corona masih sama2 suka ditinggal rapat sampai larut malem","Malang","sedih","sedih",""
"191","semoga kadrun habis dimakan corona KADRUN KAN TAEK","Malang, Jawa Timur","marah","marah","marah"
"192","gerombolan mama seksi sht terusss tan awas corona","Malang, Jawa Timur","marah","marah","marah"
"193","dih diampiri tp gupuh corona","Malang, Indonesia","takut","takut","takut"
"194","pusing sendiri kepikiran corona kapan berakhir","Malang, Jawa Timur","sedih","sedih","sedih"
"195","Lah unggas corona","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"196","MERDEKAAA dari penjajah corona","Kota Malang, Jawa Timur","gembira","gembira","gembira"
"197","Perekonomianya balik mungkin corona ilang atau udah ada vaksinya","Malang","gembira","gembira","gembira"
"198","semoga corona cepet ilang deh lt capek","Malang, Jawa Timur","sedih","takut","takut"
"199","Merdeka dari virus corona","Malang, Jawa Timur","gembira","gembira","gembira"
"200","darma11 nur07 Skrng lg corona trus maunya gimana","Malang, Jawa Timur","marah","sedih","sedih"
"201","Apa itu corona","Malang","takut","takut","takut"
"202","Cantik sih iya tapi kelakuannya kayak corona","malang","marah","terkejut","terkejut"
"203","aditama Awkmu gak pgn merasakan euforiane corona a cep Like this","Malang","gembira","takut","takut"
"204","Sekarang batuk dikit parno jangan jangn Kayanya corona ini uda mulai nyerang psikis","Malang","takut","takut","takut"
"205","sblm corona biasanya dpn smanti ada","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"206","jangan lupa kita belum merdeka dari corona","Malang","takut","takut","takut"
"207","Corona dong kakaaaa awal tahun semoga selesai","Malang","sedih","gembira","gembira"
"208","FESS Cici Muk mnonton dimlg tp corona","Malang","sedih","sedih","sedih"
"209","Kamu tau org yg bkin corona g selesai2 ya org kyk kamu kok isok yo pak e omong ngono","Malang","marah","marah","marah"
"210","dokter takut corona guru tetep ngantor masio corona heuuuh liyeurrr drama bgt negeriku","Malang, Jawa Timur","sedih","sedih","sedih"
"211","Wkwk biyen ngiro corona marine 2minggu tok dadakno sampe 6 ulan cuk asw wkwk","Malang, Jawa Timur","marah","marah","gembira"
"212","Ramene pas kene wes muleh mergo corona","Malang, Jawa Timur","sedih","takut",""
"213","Takut corona","Malang, Jawa Timur","takut","takut","takut"
"214","Mariki jamu temulawak wedang uwuh stmj bakal mundak kabeh obok embel2 e anti corona penambah imun","malang","sedih","sedih","terkejut"
"215","Belom sampek ke gili Corona su mati bob","Malang","gembira","takut","terkejut"
"216","Semoga Indonesia merdeka dari drama Corona Happy independence day guys","Malang","gembira","gembira","gembira"
"217","Masa SMA ku indah sebelum corona menyerang twibbon karyanya","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"218","lek tak rasakno urip iki normal tanpa onok beban corona wes mendelep rupane","Malang, Jawa Timur","gembira","gembira",""
"219","Sejak corona aku belum berenang tapi pengennnn","malang, east java, indonesia","sedih","sedih","sedih"
"220","Dengar kabar salahdua dari dosenku positif corona bikin aku makin betah dikost","Malang, Jawa Timur","takut","takut","takut"
"221","Merdeka dari corona","Malang, Jawa Timur","gembira","gembira","gembira"
"222","jaya selalu Indonesia dan semoga Corona cepat menghilang Proud of u I love dirgahayuindonesia Indonesia","Malang, Jawa Timur","gembira","gembira","gembira"
"223","Pandemi banyak yang rabi Hehehehe Selamat konco2ku yang ibar jalur corona","Malang, Jawa Timur","gembira","gembira","gembira"
"224","Bisa bisanya corona gini mikir 17 agustus ke gunung yang tendanya kaya permukiman jakarta","Kota Malang, Jawa Timur","marah","marah","marah"
"225","bulan ini merdeka dr corona yoook capeeek","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"226","met hari kemerdekaan lawan corona dengan nginggirno watu pinggir embong","namex","gembira","gembira","gembira"
"227","Mungkin tahun ini lomba panjat pinang di tiadakan karena corona tapi tetap panjatkan doa biar cepat di pinang","Malang, Indonesia","sedih","sedih","sedih"
"228","Dirgahayu Indonesia Semoga di bulan ini indonesian merdeka dari corona dirgahayuindonesia LekasPulih","Malang, Jawa Timur","sedih","sedih","sedih"
"229","indonesia urung merdeka teko corona ono seng ero info e corona kapan ilange a lur","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"230","Selamat ulang tahun deraaaa Lancar nyusun e eaaaaa Nanti kita ngopi seusai corona ini","Malang, Jawa Timur","gembira","gembira","gembira"
"231","Selama Corona kita bakal jadi pengangguran tanpa acara","Malang, Jawa Timur","sedih","sedih","sedih"
"232","Corona Ngakak liat ini","Malang","gembira","gembira","gembira"
"233","negatif corona positif bucin","","terkejut","","gembira"
"234","Udah bawaan selama liburan corona nan","Malang, Jawa Timur","sedih","sedih","gembira"
"235","corona corona wkwk","malang jawa timur","gembira","gembira","gembira"
"236","corona ngguyu wae rekk ndelokii koyo ngenee","Malang, Jawa Timur","gembira","gembira","gembira"
"237","mengejar promo corona wkwkwk","malang jawa timur","gembira","gembira","gembira"
"238","gara gara onk corona de kampungku maleh ganok gerak jalan ambk lomba ancen jancok lek cino iku","Malang, Jawa Timur","sedih","sedih","sedih"
"239","Orang semenjak corona gaada kerjaan ajr","Malang,indonesia","sedih","sedih","sedih"
"240","corona membuatku nolep","Malang, Jawa Timur","sedih","sedih","sedih"
"241","Gak tau ndelok beritane corona ndek malang ndelok ig ne pemkot moro wes 975 ae sing positif Oalah wong wong","Kota Malang, Jawa Timur","terkejut","marah","marah"
"242","Siapa yang punya Corona Iya pulisi karena orang pake masker bukan karena takut Corona tapi takut yang punya","Malang","marah","marah","marah"
"243","Biasanya aktif skrng pasif corona bikin aku mager","Malang, Jawa Timur","sedih","takut","takut"
"244","w pratama Masih corona mas","Malang","sedih","sedih","sedih"
"245","Sak jek e corona kok tambah ngueri ngene motogp","Malang, Jawa Timur","sedih","sedih","gembira"
"246","Sekolah Online Pilkada Offline Ngurus Corona lalai Cuk anakkampung","Malang, Jawa Timur","marah","marah","marah"
"247","Usirrr gihhh corona nya hahahha","Malang, Jawa Timur","gembira","gembira","gembira"
"248","Yg ngaku gaji dikit pdhl insentf corona mengalir deras Ha ha ha kang buli","Malang, Jawa Timur","marah","marah","marah"
"249","apakah makna hari merdeka kalo kita aja saat ini belum bisa merdeka dari Corona","Malang, Jawa Timur","sedih","sedih","sedih"
"250","Coba aja ga ada corona pasti sekarang aku sama temen2ku yang jadi panitia agustusan lagi sibuk nyiapin semua keperluan acara agustusan","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"251","Kalau sekarang di tiadakan gara2 corona sbg gantinya kerja bakti mlm2","Malang, Jawa Timur","gembira","gembira","gembira"
"252","Fak corona yang penting upacara digunung","Malang, Jawa Timur","gembira","gembira","gembira"
"253","Kota batu kota malang ya ampun macet corona uda ilang ya","Singosari, Malang","sedih","sedih","sedih"
"254","soon Klaster corona terbaru Klaster Pendaki Gunung 17an","Malang , jawa timur","gembira","sedih","sedih"
"255","Gpp kenek corona penting feed ig nambah wkwkwk","Malang, Jawa Timur","gembira","gembira","gembira"
"256","Iyaa apalagi corona","malang","gembira","",""
"257","Bukan hanya kalian corona jg pingin ngadem di Batu","malang","marah","marah","marah"
"258","Nangkep corona","Malang","gembira","gembira",""
"259","Heh lagi corona kok yah Yuk","Malang, Jawa Timur","marah","marah","marah"
"260","Corona tidak sampek gili oo","Malang","terkejut","gembira","gembira"
"261","k11 hai corona gak konser iki","Malang","sedih","sedih","gembira"
"262","Sabar ya bub sambil nunggu corona nya pergi juga","Malang, Jawa Timur","sedih","sedih","sedih"
"263","Nah ini jogja boleh juga abis corona dan pembukaan 25 ini yaaa","Malang","gembira","gembira","gembira"
"264","biar corona nya subur","Kota Malang, Jawa Timur","gembira","gembira","gembira"
"265","selama pandemi corona tutup minggu","Malang, Jawa Timur","sedih","sedih","gembira"
"266","Sekian thread dari saya corona ini mengajarkan banyak hal kok memang","Malang","gembira","gembira","sedih"
"267","sebelum corona datang","Kota Malang, Jawa Timur","takut","sedih","sedih"
"268","Corona plis lah cepet turun kasus pengen jalan2 sendirian kemana2 bosen bgttttttttt","Malang, Jawa Timur","sedih","sedih","sedih"
"269","Ya mahasiswa2 yang kena dampak corona nih","Malang","sedih","sedih","sedih"
"270","Embuh gajelas ilo ndisek pekoro corona male dipageri","Malang, Jawa Timur","marah","marah","marah"
"271","Maleh iling tau angen2 ngajak Alif jalan2 nang Jogja pas umur e 2 tahunan tapi gagal gara2 corona","Malang, Jawa Timur","sedih","sedih","sedih"
"272","aditya Mager takut corona","Kota Malang, Jawa Timur","takut","takut","takut"
"273","Tahun depan teh kalau corona lenyap","Malang, Jawa Timur","sedih","gembira","gembira"
"274","Ya allah maaf aku doa jelek tapi semoga dia kena corona","Kota Malang, Jawa Timur","marah","marah","marah"
"275","w pratama Ngga grgr ansos mas tp grgr corona","Malang","marah","marah","sedih"
"276","lalaa Oohh yow sabaar aja Cm musim corona kan banyak kebijakan biasanya","Malang, Jawa Timur","sedih","sedih","sedih"
"277","pengen diblock tp masih ada tanggungan kapan seehhhhh corona iki mariiii","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"278","Weswes rekk aku tak metu lek aku ncen onok keperluan ae plis Aku sek wedi corona pol","Malang, East Java","takut","takut","takut"
"279","Sedih bgt grgr corona jd gapernah promo","Malang, Jawa Timur","sedih","sedih","sedih"
"280","Corona e dijak mangan gorengan sisan ben gak nakal","Malang, Jawa Timur","marah","marah","gembira"
"281","aku masih gatau karena corona","Malang, Jawa Timur","marah","marah","sedih"
"282","Sama euy mana gaada temen masih corona gini bakal gadapet izin ExaARMY ExaBFF twt","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"283","Vaksin corona cepet diedarin dong Mau nongton konser BTS ni hyung","Malang, Jawa Timur","sedih","sedih","sedih"
"284","A Corona hilang bulan Agustus B TAHU DARIMANA A Dari Sumedang xixixi","Malang","gembira","gembira","gembira"
"285","Corona kapan selesai si anjing","Malang, Jawa Timur","marah","marah","marah"
"286","Pengaruh corona Sam ambek mafia paling","Kota Malang, Jawa Timur","marah","marah","marah"
"287","alvhin kalo gada corona boleh lah ya wkwkwkw","Malang, Jawa Timur","gembira","gembira","gembira"
"288","iKONIC Masih gabole ada corona","Malang, Jawa Timur","sedih","sedih","sedih"
"289","Corona kamu gaada niatan buat udahan ya Bosen nihh pengen piknik ke luar kota","Malang, Jawa Timur","sedih","sedih","sedih"
"290","isuk2 wis corona","malang, indonesia","marah","marah","takut"
"291","aku udah siapin swasta dari awal dari sebelum corona dah keterima","Malang, Jawa Timur","gembira","gembira","gembira"
"292","Tiap ke pasar tradisional selalu ngeri2 sedap Orang2 di pasar udah kayak apa itu corona","Malang , Indonesia","takut","takut","marah"
"293","Dijual tiket goa untuk fans barca diskon corona 30 fasilitas lengkap free wifi air listrik bebas jam malam","Malang, Jawa Timur","gembira","gembira","gembira"
"294","Sekalian nyari corona gt ya","Malang, Jawa Timur","gembira","gembira","gembira"
"295","pgn corona cpt kelar kakiku dah sakit banget","Malang, Jawa Timur","sedih","sedih","sedih"
"296","Corona ilang semoga punya rejeki aku pengen traveling ke Jogja Semarang pengen nyoba sendiri tapi takut hehehe","Malang, Jawa Timur","gembira","takut","takut"
"297","gabole lip lagi corona","Malang, Indonesia","sedih","sedih","sedih"
"298","Akibat CORONA Banyak temu yang tertunda","Kota malang","sedih","sedih","sedih"
"299","haahhaa seandainya ya lung bisa disihir sekalian nih corona beress","Malang, Jawa Timur","gembira","gembira","gembira"
"300","Corona wanita ingin dimengerti","Malang","marah","marah","gembira"
"301","Bener2 pengen marah ke corona","Malang, Jawa Timur","marah","marah","marah"
"302","Akhir2 ini temen banyak yang nikahan yak Apa karena promo corona jadi pada nikah","Malang, Jawa Timur","gembira","gembira","gembira"
"303","aurellya Usum wayah corona ngene","Malang, Jawa Timur","gembira","gembira",""
"304","dpr dan pemerintah bener2 bahas ruu kontroversial di masa kayak gini mana mau demo jg takut ketularan corona","Malang, Jawa Timur","marah","marah","marah"
"305","baru nyadar liat calender minggu depan tgl merah bs double gt ditambah cuti bersama coba ga corona uda cabut ke bandung atau ga jogja","Malang","sedih","sedih","sedih"
"306","Ini pada CORONA Ko makin menjadi2 ya orang nikahan Kebelet ah ah ape gmne sih","Malang, Jawa Timur","marah","gembira","gembira"
"307","TolakDemoDitengahPandemi jangan biarkan corona tertawa melihat kita","Malang","marah","marah","marah"
"308","Kalo corona gini jadi maba kayaknya kurang seru gabisa mengenal kampus di awal perkuliahan","Malang","sedih","sedih","sedih"
"309","Corona kapan perginya","Sawojajar - Malang","sedih","sedih","sedih"
"310","emg corona jaga jarak","Malang, Jawa Timur","terkejut","takut","gembira"
"311","Presiden Joko Widodo Jokowi mengatakan pandemi virus corona Covid 19 membuat pemerintah melakukan reformasi di berbagai sektor","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"312","Lalu pada tahun 2012 kembali terjadi epidemi dari virus corona jenis baru yakni MERS CoV","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"313","Seperti pandemi SARS pada tahun 2003 lalu yang diakibatkan oleh munculnya virus corona SARS CoV","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"314","Corona bikin irit mekap","Malang","gembira","gembira","gembira"
"315","Siapa bilang guruku mtk sekarang kena corona","Kota Malang, Jawa Timur","marah","marah","sedih"
"316","Iklan vaksin corona Rp1 juta per dosis marak tersebar di WeChat","malang","terkejut","terkejut","terkejut"
"317","Tapi emang sejak corona gini mau beli makanan dr luar negeri suka mikir mikir aku bil","Malang, Jawa Timur","sedih","takut","terkejut"
"318","Corona selametan ndek kene wkwkwkwkw","Malang, Jawa Timur","gembira","gembira","gembira"
"319","e gada euy yang suka ngadain orgnya kena corona","Vancouver, WA","marah","marah","sedih"
"320","semenjak corona malah iso sering kumpul kro konco lawas","Malang, Jawa Timur","gembira","gembira","gembira"
"321","Tar kalo corona nya udah ilang Kita meetup yaa tanteeee kata mamaku tante tuhh orangnya lucu bed","l????????","gembira","gembira","gembira"
"322","pls prgi corona idiot","Malang, Jawa Timur","marah","marah","marah"
"323","Cegah Corona Nurmiaty Sambangi Langsung Rumah Warga","malang","terkejut","terkejut","terkejut"
"324","kita gelud tuh corona","malang, jawa timur","marah","marah","marah"
"325","Ya masak anda mau ikut corona ya jelas ikut yang menikah2 dong haha","Malang","gembira","gembira","gembira"
"326","Kabar kalung anti corona gimana Gak boleh berat sebelah loh","Malang","terkejut","terkejut","terkejut"
"327","Like dulu Ntar hbs corona br plesiran","ÃœT: -7.94399,112.624655","gembira","gembira","gembira"
"328","Gara gara bedebah corona rutinitas berubah total kangen stay di ruangan sendiri berduaan sama pc kesayangan","malang","sedih","sedih","marah"
"329","Ayo semangat teman teman ku generasi corona DASAR BEBAN KELUARGA","Kota Malang, Jawa Timur","marah","marah","marah"
"330","Bang bener kt lu corona ijo ky warna lambung","malang","terkejut","terkejut","terkejut"
"331","Sebelum corona aku dah beberapa kali ditolak Karna doi ndak mau salaman sama lawan jenis","Malang, Jawa Timur","sedih","sedih","sedih"
"332","Cari kesibukan biar pikiran gak kemana mana mikirin corona selain kekantor aku gak kemana mana dirumah saja","Malang","sedih","sedih","sedih"
"333","Sebab kontribusi masyarakat untuk menjaga kesehatan sangat diperlukan untuk memberantas virus corona di Indonesia","Malang, Jawa Timur","takut","takut","terkejut"
"334","Erick Thohir Harap Imunisasi Massal Vaksin Corona Bisa Dilakukan Awal 2021 17agustussudahdekat","Malang, Jawa Timur","gembira","takut","gembira"
"335","Corona kapan kelar ini teman sy udh jadi begini kelamaan di rumah","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"336","Tapi kalau buka sekolah malah bisa nambah cluster penyebaran corona tambah berbahaya lagi Bingung kan jadinya","Malang, Jawa Timur","takut","takut","sedih"
"337","rumy Mending duit bayar kuota opo duit bayar rumah sakit kenek corona lek menurute samean sam","malang","marah","marah","sedih"
"338","nonton kkn tp corona said mana sempat keburu telat","Malang","sedih","sedih","sedih"
"339","Apakabar kalung corona jamu corona","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"340","gara gara corona ak berhenti ngekos padahal kosan itu pw banget hiks","Malang, Jawa Timur","sedih","sedih","sedih"
"341","Btw ini klau ada yang ga percaya ini keterlaluan sii Di rs tmpat sepupu ku kerja igd nya tutup nakes dan dokterny pada kena corona","malang","terkejut","terkejut","marah"
"342","Pemprov DKI Bantah Jakarta jadi Zona Hitam Corona","MALANG","terkejut","terkejut","terkejut"
"343","corona sukanya main belakang haha","Malang, Jawa Timur","gembira","gembira","gembira"
"344","Visa nya jalur corona ntar wkwkwk Iya kangen suasana latihan bareng sopran Kuhhh","Bangkalan","sedih","gembira","gembira"
"345","Pengen banget jalan2 Ke transmart aja deh gpp Tp takut Takut corona amp takut judge dr orang2 I just want to distract my mind","Malang, Indonesia","sedih","takut","takut"
"346","Astagfirullah corona jgn keluar mulu cannn","Malang, Jawa Timur","takut","takut","takut"
"347","Negatif Corona Positif tambah ireng","Malang, Jawa Timur","sedih","sedih","sedih"
"348","Efek corona kalau itu makanya sepi coba gak corona pasti rame","Malang, Jawa Timur","sedih","sedih","terkejut"
"349","Jomblo gabut pas corona dan liburan panjang be like","Malang, Jawa Timur","gembira","gembira","gembira"
"350","Rajin Cuci Tangan Cegah Penyebaran Corona PolriSerukanCuciTangan","Kota Malang, Jawa Timur","takut","takut","terkejut"
"351","Jaman corona makin parah tapi tak ada penanganan serius jadinya gak kelar kelar","Malang, Jawa Timur","marah","sedih","terkejut"
"352","Mau saranin ke dokter tp lagi musimnya corona","Malang, Jawa Timur","sedih","takut","terkejut"
"353","Lawak bgt ipk semester ini tp alhamdulillah berkat corona juga","Malang, Jawa Timur","gembira","gembira","gembira"
"354","KICK e sek dipending gara corona wkakaka","Malang, East Java","gembira","gembira","gembira"
"355","Gemes ama bbrp cowok yang nanya Ngga maen ke sby YA ENGGALAH GOBLOK MASI ADA CORONA","Malang, Jawa Timur","marah","marah","marah"
"356","Laporan publikasi laporan publikasi kegiatan skripsi kuliah corona kamprt waw apasi aku gajelas bgt innalillahi","Malang, Jawa Timur","sedih","sedih","sedih"
"357","Coba deh tengok fb komunitas asli malang ngeri tuh ada yang di buli gara2 bilang hati2 penyebaran corona","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"358","Diskusi kenapa corona ga selesai2","Malang, Jawa Timur","sedih","sedih","terkejut"
"359","ohe efek corona lupe hari","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"360","Ada yang bilang di alam corona gaada soalnya medannya sulit diakses","Malang, Jawa Timur","gembira","gembira","gembira"
"361","gembira Tenan kyk corona i tak tertahankan ngono","Malang","gembira","gembira","gembira"
"362","Ga mari mari urusan toefl Kok ga ono wisuda jalur corona yo padahal ono skripsi jalur corona lo proses e ga seangel awak dewe","Malang, Jawa Timur","sedih","sedih","sedih"
"363","Doaku hari ini Semoga Corona bisa cepet ilang dan aku bisa ngedaki gunung lagi Amin","Kota Malang, Jawa Timur","sedih","sedih","gembira"
"364","Udah mahal sebagian pekerjaan banyak yang mati jadi gasalah orang orang yang bodo amat sama Corona ini","Malang, Jawa Timur","sedih","sedih","terkejut"
"365","Salah satunya karena dikhawatirkan jenazah tersebut masih dapat menularkan virus Corona","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"366","Iyohe kpn ilang corona iki","Malang, Jawa Timur","sedih","sedih","sedih"
"367","Sempet2nyaa di kampung ngadain karnaval bener2 di madura emang ggda corona","Seattle, WA","terkejut","terkejut","terkejut"
"368","Orang kayak gini cocok disuntik corona","Malang","marah","marah","marah"
"369","Corona takut sama aremania","Malang, East Java","gembira","gembira","gembira"
"370","Lek aku alasane nuturui ngono perkoro sek dualisme gak mari2 Guduk perkoro corona","Malang, Jawa Timur","marah","sedih","sedih"
"371","Selamat bertambah tua ongis nade e malang Corona melok edan nyawang iki","Malang, Jawa Timur","gembira","gembira","gembira"
"372","Oil Nemuin penguin dan yang pasti bebas corona","Malang, Jawa Timur","gembira","terkejut","terkejut"
